name,rank,year_published,mechanics,categories,subdomains,playing_time,mfg_suggested_ages,user_suggested_ages,expansions,languages,honors,mfg_suggested_players,user_suggested_players,count_ratings,avg_ratings,std_deviation,count_views
Ghost Chase,3144,2001,Ghosts,Partnerships,"Children's Game, Deduction, Exploration",60 minutes,8 and up,6 and up,,No necessary in-game text,Family Games,25,(Not best with any number),360,6.23,1.18,50995
oddball Aeronauts,3145,2014,"Oddball Aeronauts: Snowtide Event Cards, Oddball Aeronauts: Snowtide Mercenary Cards",Hand Management,"Card Game, Fantasy",1520 minutes,9 and up,10 and up,oddball Aeronauts 2: Double the Trouble,Moderate in-game text - needs crib sheet or paste ups,Strategy Games,2,Best with 2 players,375,6.30,1.49,44238
King Philip's War,3146,2010,Point to Point Movement,"Renaissance, Wargame",Wargames,120 minutes,,10 and up,"Age of Kings, International Games Series",Moderate in-game text - needs crib sheet or paste ups,2010 Charles S. Roberts Best Ancient to Napoleonic Era Board Wargame Nominee,2,Best with 2 players,134,6.98,1.18,48100
Piraten kapern,3147,2012,AMIGO  dice games in box,"Dice Rolling, Press Your Luck, Set Collection","Card Game, Dice, Pirates",30 minutes,8 and up,8 and up,,No necessary in-game text,,25,Best with 34 players,null,1.44,16501,null
Field Command,3148,1991,3D Games,"Action / Movement Programming, Rock-Paper-Scissors, Simultaneous Action Selection",Wargame,180 minutes,10 and up,12 and up,,No necessary in-game text,Wargames,2,Best with 2 players,143,7.09,1.47,35098
Pocket Imperium,3149,2013,"Action / Movement Programming, Area Control / Area Influence, Modular Board, Simultaneous Action Selection","Print & Play, Science Fiction, Space Exploration, Territory Building",Strategy Games,3045 minutes,10 and up,10 and up,"Pocket Imperium: Mech Worlds, Pocket Imperium: Prosperity",Some necessary text - easily memorized or small crib sheet,2013 Golden Geek Best Print & Play Board Game Nominee,24,Best with 3 players,217,6.54,1.33,53454
Not War But Murder,3150,2007,"Area-Impulse, Hex-and-Counter","American Civil War, Wargame",Wargames,240 minutes,12 and up,12 and up,Magazine: Against The Odds,Some necessary text - easily memorized or small crib sheet,"2007 Charles S. Roberts Best Magazine-Published Boardgame Nominee, 2007 Charles S. Roberts Best Magazine-Published Boardgame Winner",2,Best with 2 players,126,7.08,1.60,37897
Say Anything Family Edition,3151,2011,Say Anything,Betting/Wagering,"Humor, Party Game",30 minutes,8 and up,6 and up,,Extensive use of text - massive conversion needed to be playable,"Family Games, Party Games",36,Best with 56 players,802,null,6.74,1.40
Ark & Noah,3152,2012,Noah,"Area Control / Area Influence, Area Enclosure, Variable Phase Order, Worker Placement","Animals, Nautical, Novel-based, Religious",45 minutes,8 and up,4 to 14,,No necessary in-game text,,24,Best with 4 players,null,1.08,20577,null
Rolling Japan,3153,2014,Rolling America,"Dice Rolling, Paper-and-Pencil","Dice, Number, Puzzle",15 minutes,8 and up,8 and up,Country: Japan,No necessary in-game text,,199,Best with 35 players,null,1.08,23469,null
Siberia: The Card Game,3154,2012,,Hand Management,"Card Game, Economic",20 minutes,9 and up,(no votes yet),,No necessary in-game text,,24,Best with 2 players,null,1.16,12686,null
Arena Maximus,3155,2003,"Ancient Rome, Fantasy Flight Silver Line Games, Fantasy Sports",Hand Management,"Fantasy, Racing",60 minutes,10 and up,8 and up,,No necessary in-game text,Thematic Games,25,Best with 45 players,933,5.94,1.25,76386
Ultimate Warriorz,3156,2011,Ultimate Warriorz: Cris de Guerre,"Dice Rolling, Hand Management, Variable Player Powers","Card Game, Dice, Fantasy, Fighting",30 minutes,8 and up,8 and up,Mad Arena,No necessary in-game text,,28,Best with 35 players,null,1.48,24616,null
Akaba,3157,2004,"Dice Rolling, Memory, Pick-up and Deliver","Action / Dexterity, Arabian, Children's Game, Real-time",Children's Games,20 minutes,5 and up,5 to 14,,No necessary in-game text,"2005 Deutscher Spiele Preis Best Children's Game Winner, 2005 Kinderspielexperten ""8-to-13-year-olds"" Nominee, 2006 As d'Or - Jeu de l'Anne Nominee",24,Best with 4 players,217,6.50,1.27,31789
Bowl Bound,3158,1973,,"Sports Illustrated (Time, Inc) Line, Sports: American Football / Gridiron","Dice Rolling, Simulation",60 minutes,12 and up,Some necessary text - easily memorized or small crib sheet,,,"Dice, Sports",14,,161,6.91,1.41,41771
NHL Power Play Team-Building Card Game,3159,2014,Sports: Ice Hockey,NHL Power Play Team-Building Card Game: Henrik Sedin Promo,Deck / Pool Building,30 minutes,15 and up,Extensive use of text - massive conversion needed to be playable,,(4 voters) [,"Card Game, Sports",24,,null,1.35,14295,null
Belle of the Ball,3160,2014,"Crowdfunding: Kickstarter, Guild: Game Designers of North Carolina","Card Drafting, Hand Management, Press Your Luck, Set Collection","Card Game, Humor",3045 minutes,13 and up,8 and up,,Some necessary text - easily memorized or small crib sheet,Family Games,25,(Not best with any number),308,6.30,1.26,27515
King Arthur: The Card Game,3161,2005,Wer war's: Das Kartenspiel,"Hand Management, Set Collection","Card Game, Fantasy",30 minutes,8 and up,6 and up,The Legend of King Arthur and the Knights of the Round Table,No necessary in-game text,Family Games,25,Best with 4 players,448,6.12,1.18,35924
18VA,3162,2001,,18xx,"Auction/Bidding, Route/Network Building, Stock Holding, Tile Placement",210 minutes,14 and up,(no votes yet),,,"Economic, Trains",25,,103,7.33,1.29,19454
Stratego (Revised Edition),3163,2008,,Stratego Series,"Memory, Secret Unit Deployment",30 minutes,8 and up,Some necessary text - easily memorized or small crib sheet,,(4 voters) [,"Abstract Strategy, Bluffing, Deduction, Fantasy",2,,null,1.23,26106,null
42,3164,1885,,Dominoes,"Auction/Bidding, Partnerships, Trick-taking",30 minutes,10 and up,No necessary in-game text,,,"Abstract Strategy, Card Game",4,,129,7.08,1.76,15930
Emira,3165,2006,,"Auction/Bidding, Set Collection, Variable Player Powers","Arabian, Economic",100 minutes,12 and up,12 and up,,Moderate in-game text - needs crib sheet or paste ups,Strategy Games,35,Best with 4 players,665,6.01,1.51,70462
Typo,3166,2004,"Pattern Building, Simultaneous Action Selection","Card Game, Word Game",Family Games,30 minutes,8 and up,10 and up,Typo 2D,No necessary in-game text,"2005 Fairplay  la carte Winner, 2005 Spiel des Jahres Recommended",26,(Not best with any number),389,6.16,1.40,29515
Buffalo Wings,3167,2010,"Dice Rolling, Hex-and-Counter, Simulation","Aviation / Flight, Wargame, World War II",Wargames,180 minutes,,12 and up,"Country: Finland, Fighting Wings, Magazine: Against The Odds",Extensive use of text - massive conversion needed to be playable,2010 Charles S. Roberts Best Magazine Game Nominee,2,Best with 2 players,93,8.07,1.17,30589
7 Ronin,3168,2013,Ninja,"Area Control / Area Influence, Simultaneous Action Selection",Medieval,30 minutes,14 and up,12 and up,,No necessary in-game text,,2,Best with 2 players,null,1.01,28952,null
Catan: Ancient Egypt,3170,2014,Catan,"Dice Rolling, Route/Network Building, Trading","Civilization, Negotiation",75 minutes,10 and up,(no votes yet),"Catan, Country: Egypt",Moderate in-game text - needs crib sheet or paste ups,,34,(Not best with any number),null,1.23,27589,null
Dawn Patrol,3171,1982,,"Dice Rolling, Hex-and-Counter, Role Playing, Simultaneous Action Selection","Aviation / Flight, Wargame, World War I",60 minutes,12 and up,10 and up,,Some necessary text - easily memorized or small crib sheet,Wargames,252,Best with 8 players,236,6.65,1.51,39926
Totemo,3172,2010,3D Games,Pattern Building,"Abstract Strategy, Children's Game, Educational",30 minutes,6 and up,5 and up,,No necessary in-game text,"Abstract Games, Family Games",24,Best with 23 players,814,null,6.80,1.25
Venedig,3173,2007,"Card Drafting, Hand Management",City Building,,4560 minutes,10 and up,10 and up,Cities: Venice,Some necessary text - easily memorized or small crib sheet,"2007 Kinderspielexperten ""8-to-13-year-olds"" Nominee",25,Best with 3 players,null,1.25,33431,null
"Codeword Cromwell: The German Invasion of England, 8 June 1940",3174,2014,"Country: England, Solitaire Games, Solitaire Wargames","Adventure, Dice, Wargame, World War II","Thematic Games, Wargames",120 minutes,10 and up,14 and up,,Extensive use of text - massive conversion needed to be playable,2014 Golden Geek Best Solo Board Game Nominee,1,Best with 1 players,415,null,8.23,1.21
Flix Mix,3175,2004,"Pattern Recognition, Tile Placement","Card Game, Real-time",,20 minutes,6 and up,5 and up,,No necessary in-game text,2005 Japan Boardgame Prize Best Foreign Game for Beginners,24,Best with 34 players,null,1.25,19606,null
Cypher,3176,2014,,"AEG: 5 Minute Fun, AEG: Pocket Game, Games by Gamesmiths","Card Drafting, Hand Management",15 minutes,14 and up,Some necessary text - easily memorized or small crib sheet,,(3 voters) [,"Card Game, Science Fiction",24,,null,1.21,26266,null
Koi Pond: A Coy Card Game,3177,2013,"Koi Pond: Four Walls, Koi Pond: Four Winds, Koi Pond: Moon Temple","Card Drafting, Hand Management, Set Collection","Abstract Strategy, Animals, Card Game",20 minutes,10 and up,(no votes yet),,No necessary in-game text,,24,Best with 34 players,null,1.25,11180,null
Mit List und Tcke,3178,1999,,Trick-taking,Card Game,60 minutes,10 and up,No necessary in-game text,,,,46,,null,1.22,17965,null
No Better Place to Die,3179,1994,"Civil War, Brigade (CWB) Series","Hex-and-Counter, Simulation","American Civil War, Wargame",360 minutes,,No necessary in-game text,,,Wargames,2,,110,7.28,1.31,23098
Leve en Masse,3180,2010,"Action Point Allowance System, Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement","Napoleonic, Political, Wargame",Wargames,35 minutes,12 and up,10 and up,Levee en Masse Expansion Kit,Some necessary text - easily memorized or small crib sheet,2010 Charles S. Roberts Best Desktop Published (DTP) / Print-and-Play / Postcard Game Nominee,1,Best with 1 players,207,7.02,1.61,42022
Rebel Raiders on the High Seas,3181,2013,,,"American Civil War, Nautical, Wargame",360 minutes,,12 and up,,Moderate in-game text - needs crib sheet or paste ups,Wargames,2,Best with 2 players,106,7.37,1.23,40595
Landships! Tactical Weapons Innovations 1914-1918,3182,1994,"Infernal Machines, Real Weapons",Hex-and-Counter,"Wargame, World War I",120 minutes,12 and up,Some necessary text - easily memorized or small crib sheet,,,Wargames,2,,170,6.81,1.38,41425
Era of Inventions,3183,2010,Era Of Inventions: The Golden Goal,Worker Placement,Industry / Manufacturing,90 minutes,12 and up,12 and up,Quined Master Print Edition Series,No necessary in-game text,Strategy Games,35,Best with 3 players,470,6.11,1.60,67689
The Sorcerer's Cave,3184,1978,,The Sorcerer's Cave Extension,Modular Board,60 minutes,10 and up,Moderate in-game text - needs crib sheet or paste ups,,,"Card Game, Exploration, Fantasy",14,,875,null,6.35,1.49
Kakerlakensuppe,3185,2008,Cockroach Salad,Pattern Recognition,"Animals, Card Game, Humor, Real-time",1020 minutes,6 and up,6 to 12,"Animals: Cockroaches, Drei Magier Ugly Animals, Food / Cooking",No necessary in-game text,Party Games,26,(Not best with any number),414,6.16,1.32,21583
Black Wednesday,3186,1995,"Country: Spain, Tactical Combat Series",Hex-and-Counter,"Wargame, World War II",240 minutes,12 and up,Some necessary text - easily memorized or small crib sheet,,,Wargames,2,,116,7.23,1.37,30517
Days of Steam,3187,2009,Days of Steam: Locomotives,"Dice Rolling, Hand Management, Pick-up and Deliver, Point to Point Movement","Dice, Racing, Trains, Transportation",3060 minutes,10 and up,8 and up,Valley Games Modern Line,No necessary in-game text,Strategy Games,24,Best with 4 players,599,6.00,1.30,76232
Filipino Fruit Market,3188,2009,"Admin: Better Description Needed!, Country: Philippines, Food / Cooking",Trick-taking,Card Game,30 minutes,10 and up,(no votes yet),,No necessary in-game text,"Family Games, Strategy Games",35,Best with 4 players,819,null,6.50,1.27
Helvetia Cup,3189,2012,"Country: Switzerland, Fantasy Sports",Simulation,"Fantasy, Sports",45 minutes,10 and up,10 and up,,No necessary in-game text,,2,Best with 2 players,null,1.45,33236,null
Arcane Legions,3190,2009,CMGs (Collectible Miniatures Games),"Arcane Legions: Booster Pack, Arcane Legions: Dragons of the Far East, Arcane Legions: Egyptian Army Pack  Cavalry, Arcane Legions: Egyptian Army Pack  Infantry","Action Point Allowance System, Dice Rolling",60 minutes,10 and up,Some necessary text - easily memorized or small crib sheet,,,"Ancient, Collectible Components, Dice, Fantasy",26,,92,null,6.60,1.82
Break the Safe,3191,2003,,Admin: Better Description Needed!,"Co-operative Play, Roll / Spin and Move",30 minutes,8 and up,Some necessary text - easily memorized or small crib sheet,,,"Electronic, Spies/Secret Agents",24,,536,6.09,1.32,64428
Divided Republic,3192,2012,Crowdfunding: Kickstarter,"Area Control / Area Influence, Campaign / Battle Card Driven, Hand Management, Variable Player Powers","American Civil War, Civil War, Political",180 minutes,16 and up,12 and up,,Extensive use of text - massive conversion needed to be playable,Strategy Games,24,Best with 4 players,172,6.73,1.70,74846
Hoplomachus: The Lost Cities,3193,2012,"Hoplomachus: Beast & Master, Hoplomachus: Blade's Edge, Hoplomachus: Crowd Favor Gladiator Promo Chips, Hoplomachus: Legends of the Sand","Area Enclosure, Deck / Pool Building, Dice Rolling, Hand Management","Dice, Fighting",60 minutes,12 and up,10 and up,"Hoplomachus: Beast & Master, Hoplomachus: Blade's Edge, Hoplomachus: Crowd Favor Gladiator Promo Chips, Hoplomachus: Crowd Favor Gladiators",Some necessary text - easily memorized or small crib sheet,"Abstract Games, Strategy Games, Wargames",13,Best with 2 players,187,,null,7.65
Conquest,3194,1974,Conquest,Grand Conquest,"Action Point Allowance System, Point to Point Movement",120 minutes,10 and up,No necessary in-game text,,,"Abstract Strategy, Ancient, Wargame",24,,314,6.27,1.67,59570
Statis Pro Football,3195,1973,,Sports: American Football / Gridiron,Statis Pro Football AFC/NFC Player Cards,120 minutes,12 and up,Some necessary text - easily memorized or small crib sheet,,,Sports,12,,1150,null,6.37,1.75
The Emperor Returns,3196,1986,Campaigns of Napoleon System: 1x Series,Hex-and-Counter,"Napoleonic, Wargame",240 minutes,12 and up,14 and up,,No necessary in-game text,Wargames,13,Best with 3 players,123,7.16,1.27,22807
Dixie: Bull Run,3197,1994,"CCGs (Collectible Card Games), Dixie: American Civil War Card Game","Area Control / Area Influence, Area Movement, Dice Rolling, Hand Management","American Civil War, Card Game, Collectible Components, Dice",60 minutes,12 and up,10 and up,,Some necessary text - easily memorized or small crib sheet,"Customizable Games, Wargames",2,Best with 2 players,105,null,6.27,1.36
Xe Queo!,3198,1998,,Secret Unit Deployment,"Abstract Strategy, Bluffing",20 minutes,8 and up,8 and up,,No necessary in-game text,Abstract Games,2,Best with 2 players,230,6.48,1.51,23126
Jockey,3199,1973,,"Ravensburger Casino Series, Sports: Horse Racing",Betting/Wagering,45 minutes,12 and up,(no votes yet),,(4 voters) [,"Animals, Racing, Sports",26,,null,1.36,23922,null
21 Mutinies Arrr! Edition,3200,2013,21 Mutinies: Treasures of the Empire,"Hand Management, Variable Phase Order, Worker Placement","Economic, Pirates",45 minutes,10 and up,8 and up,21 Motines,No necessary in-game text,,25,Best with 45 players,null,1.63,23685,null
Kardinal & Knig: Das Kartenspiel,3201,2001,,"Card Drafting, Set Collection","Card Game, Print & Play",45 minutes,11 and up,(no votes yet),,No necessary in-game text,,35,Best with 34 players,null,1.04,30960,null
L'Aropostale,3202,2013,Admin: Better Description Needed!,"Area Control / Area Influence, Pick-up and Deliver, Route/Network Building","Aviation / Flight, Exploration",70 minutes,12 and up,10 and up,,No necessary in-game text,,25,,null,1.34,22469,null
Corto,3203,2013,Corto: The Secrets of Venice,"Area Control / Area Influence, Hand Management, Modular Board","Adventure, Card Game, Comic Book / Strip",2040 minutes,10 and up,12 and up,,Some necessary text - easily memorized or small crib sheet,,24,Best with 3 players,null,1.28,24672,null
Morisi,3204,2000,"Modular Board, Route/Network Building",Transportation,"Abstract Games, Strategy Games",45 minutes,10 and up,(no votes yet),Netzwerk,No necessary in-game text,"2001 International Gamers Awards - General Strategy; Multi-player Nominee, 2001 Nederlandse Spellenprijs Nominee",24,(Not best with any number),1071,null,6.50,1.16
Star Trek: Five-Year Mission,3205,2015,,Star Trek,"Co-operative Play, Dice Rolling, Variable Player Powers",3045 minutes,10 and up,Moderate in-game text - needs crib sheet or paste ups,,(4 voters) [,"Dice, Movies / TV / Radio theme, Science Fiction",37,,null,1.35,33152,null
Warmachine: High Command,3206,2013,"Hordes: High Command, Warmachine: High Command  Faith & Fortune","Warmachine: High Command   Heroes & Legends, Warmachine: High Command  Colossal Warfare, Warmachine: High Command  Into the Breach, Warmachine: High Command  Invasion of Sul",Deck / Pool Building,60 minutes,,Moderate in-game text - needs crib sheet or paste ups,"Admin: Better Description Needed!, High Command, Warmachine",,Card Game,24,,1101,null,6.28,1.84
Dungeon Heroes,3207,2013,Dungeon Heroes: Expansion Pack,"Action Point Allowance System, Area Enclosure, Grid Movement, Memory","Bluffing, Exploration, Fantasy, Medieval",30 minutes,13 and up,6 and up,"Crowdfunding: Kickstarter, Solitaire Games",Some necessary text - easily memorized or small crib sheet,"Family Games, Thematic Games",12,Best with 2 players,856,null,6.54,1.50
Mafia de Cuba,3208,2015,Mafia de Cuba: Revolucion,"Partnerships, Role Playing, Variable Player Powers","Bluffing, Deduction, Mafia, Party Game",1020 minutes,10 and up,10 and up,"Country: Cuba, Werewolf / Mafia",No necessary in-game text,,612,Best with 812 players,null,1.18,16724,null
Bucket Brigade,3209,1998,"Animals: Bears, Animals: Hedgehogs/Porcupines",Hand Management,"Animals, Card Game, Children's Game",30 minutes,7 and up,6 and up,,No necessary in-game text,Family Games,35,Best with 4 players,470,6.09,1.30,32752
Bauhaus,3210,2013,,Area Enclosure,Abstract Strategy,30 minutes,14 and up,No necessary in-game text,,,Abstract Games,24,,154,7.06,1.51,8636
Two by Two,3211,2010,"Animals: Apes / Monkeys, Animals: Bears, Animals: Cats, Animals: Dogs","Set Collection, Tile Placement","Animals, Environmental, Exploration, Mythology",45 minutes,8 and up,6 and up,,No necessary in-game text,Family Games,24,Best with 2 players,357,6.19,1.25,39092
Plague & Pestilence,3212,1993,,"Card Drafting, Dice Rolling, Take That","Card Game, Medieval",30 minutes,,10 and up,,Some necessary text - easily memorized or small crib sheet,Thematic Games,26,Best with 6 players,584,6.11,1.66,58980
Razzia,3213,1992,"Auction/Bidding, Simultaneous Action Selection","Bluffing, Card Game, Economic, Mafia","Family Games, Strategy Games",30 minutes,12 and up,8 and up,,No necessary in-game text,"1992 Fairplay  la carte Winner, 1992 Spiel des Jahres Recommended",38,"Best with 6, 8 players",822,null,6.38,1.24
Spinball,3214,2001,,,,20 minutes,,(no votes yet),,,Action / Dexterity,2,,137,6.91,1.52,33767
Kontor,3215,1999,"Area Control / Area Influence, Commodity Speculation, Tile Placement","City Building, Nautical, Renaissance",Strategy Games,60 minutes,12 and up,12 and up,"Kontor: 3 & 4 player expansion, Kontor: Das Exportlager, Kontor: Die Aktionstafeln, Kontor: Die Ereigniskarten",No necessary in-game text,"1999 Spiel des Jahres Recommended, 2000 International Gamers Awards - General Strategy; Two-players",24,Best with 2 players,648,6.01,1.37,56243
Corsairs,3216,2000,,"Area Control / Area Influence, Dice Rolling, Hand Management, Modular Board","Card Game, Fighting, Nautical",60 minutes,10 and up,8 and up,,No necessary in-game text,Family Games,24,Best with 4 players,478,6.09,1.33,39831
Wheedle,3217,2002,Pit,"Set Collection, Trading","Card Game, Real-time",30 minutes,9 and up,(no votes yet),Turnless Trading Games,No necessary in-game text,,46,,null,1.39,25156,null
"Kolin: Frederick's First Defeat - June 18, 1757",3218,1994,"Age of Kings, Battles from the Age of Reason (BAR)",Hex-and-Counter,"Age of Reason, Wargame",360 minutes,12 and up,(no votes yet),,,Wargames,12,,86,7.79,1.26,21045
Liftoff!,3219,1989,,"Dice Rolling, Simultaneous Action Selection",Space Exploration,180 minutes,12 and up,12 and up,,Moderate in-game text - needs crib sheet or paste ups,Strategy Games,14,Best with 34 players,162,6.82,1.51,40802
Rumble in the Dungeon,3220,2012,,"Modular Board, Pick-up and Deliver, Point to Point Movement, Secret Unit Deployment","Bluffing, Deduction, Party Game",20 minutes,8 and up,6 to 12,,No necessary in-game text,"Family Games, Party Games",36,Best with 4 players,846,null,6.36,1.48
Global Mogul,3221,2013,"Global Mogul: Entrepreneur, Mayfair Games' Limited Edition Promo Expansion Set #6",Worker Placement,Economic,60120 minutes,14 and up,14 and up,,Some necessary text - easily memorized or small crib sheet,,14,Best with 4 players,null,1.45,19767,null
Scythe,3222,2016,"Admin: Unreleased Games, Alternate History, Crowdfunding: Kickstarter",Area Control / Area Influence,"Economic, Farming, Territory Building, Wargame",90115 minutes,14 and up,10 and up,,Moderate in-game text - needs crib sheet or paste ups,Strategy Games,15,Best with 4 players,83,8.03,1.43,219313
Riichi Mahjong,3222,,,Mahjong,"Betting/Wagering, Hand Management, Set Collection",120 minutes,8 and up,Some necessary text - easily memorized or small crib sheet,,,Abstract Strategy,4,,75,8.24,1.76,5862
Minotaur Lords,3223,2004,Scarab Lords,"Area Control / Area Influence, Hand Management, Variable Player Powers","Card Game, Fantasy, Fighting",30 minutes,12 and up,8 and up,"Fantasy Flight Silver Line Games, Minotaur",Moderate in-game text - needs crib sheet or paste ups,Strategy Games,2,Best with 2 players,542,6.02,1.40,54950
To the Green Fields Beyond,3224,1978,"Dice Rolling, Hex-and-Counter, Simulation","Fighting, Wargame, World War I",Wargames,240 minutes,12 and up,(no votes yet),,(no votes yet),"1978 Charles S. Roberts Best Twentieth Century Game Nominee, 1978 Charles S. Roberts Best Twentieth Century Game Winner",2,(Not best with any number),108,7.25,1.29,25739
"Gulf, Mobile & Ohio",3225,2008,"Admin: Better Description Needed!, Cube Rails, Historic Railroads System, Winsome Essen Sets","Gulf, Mobile & Ohio: Expansion #1","Auction/Bidding, Route/Network Building, Stock Holding",60 minutes,,No necessary in-game text,,,"Economic, Trains, Transportation",35,,161,6.69,1.26,18047
Dark Minions,3226,2011,,,"Dice Rolling, Worker Placement",60 minutes,10 and up,Moderate in-game text - needs crib sheet or paste ups,,,"Dice, Fantasy",35,,297,6.32,1.22,55175
Vabanque,3227,2001,Betting/Wagering,Bluffing,,30 minutes,12 and up,10 and up,,No necessary in-game text,2002 Japan Boardgame Prize Best Foreign Game for Beginners Nominee,36,Best with 56 players,null,1.43,32175,null
Agent Hunter,3228,2013,"AEG: Pocket Game, IELLO: Mini Games","Memory, Secret Unit Deployment","Bluffing, Card Game, Deduction, Memory",15 minutes,12 and up,8 and up,,No necessary in-game text,Abstract Games,2,Best with 2 players,470,6.08,1.18,30684
Food Fight,3229,2011,"Food Fight Promo Cards, Food Fight: Snack Attack","Card Drafting, Hand Management","Card Game, Humor",30 minutes,13 and up,12 and up,"Admin: Better Description Needed!, Food / Cooking",Some necessary text - easily memorized or small crib sheet,"Family Games, Strategy Games",26,Best with 6 players,927,null,6.11,1.64
"Bitter End: Attack to Budapest, 1945",3230,2005,"Cities: Budapest, Country: Hungary","Dice Rolling, Hex-and-Counter, Simulation","Wargame, World War II",240 minutes,12 and up,12 to 16,,Unplayable in another language,Wargames,12,Best with 2+ players,105,7.31,1.55,40772
Blockade Runner,3231,2010,Blockade Runner: Advanced Action Cards,"Auction/Bidding, Pick-up and Deliver, Variable Phase Order",American Civil War,90 minutes,12 and up,10,,(no votes yet),"Strategy Games, Thematic Games",26,Best with 4 players,1085,null,6.74,1.65
New Rules for Classic Games,3232,1992,,,,minutes,10 and up,Extensive use of text - massive conversion needed to be playable,,,"Abstract Strategy, Action / Dexterity, Book, Card Game",,,83,7.59,1.66,16934
Muse,3233,2014,"Crowdfunding: Kickstarter, Gryphon Games bookshelf series","Hand Management, Pattern Building, Set Collection",Card Game,30 minutes,8 and up,8 and up,,No necessary in-game text,,24,Best with 2 players,null,1.15,14338,null
Starfighter,3234,2015,Ystari originals,"Hand Management, Take That","Card Game, Science Fiction",30 minutes,13 and up,12 and up,,No necessary in-game text,Strategy Games,2,Best with 2 players,94,7.75,1.53,18095
Warhammer Fantasy Battles (8th Edition),3235,2010,Warhammer: Age Of Sigmar,"Tamurkhan: The Throne of Chaos, Warhammer: Blood in the Badlands, Warhammer: Sigmar's Blood, Warhammer: Storm of Magic","Dice Rolling, Modular Board, Variable Player Powers",180 minutes,12 and up,(no votes yet),Warhammer Fantasy Wargames,(1 voter) [,"Fantasy, Fighting, Miniatures, Wargame",2,,null,1.79,5145,null
Adventure Time Card Wars: Finn vs. Jake,3236,2014,"Adventure Time Card Wars: BMO vs. Lady Rainicorn, Adventure Time Card Wars: Ice King vs. Marceline, Adventure Time Card Wars: Lemongrab vs. Gunter, Adventure Time Card Wars: Princess Bubblegum vs. Lumpy Space Princess","Adventure Time Card Wars: For The Glory! Booster Pack, Adventure Time Card Wars: Hero Pack #1, Adventure Time Card Wars: Sundae School",Hand Management,30 minutes,10 and up,Moderate in-game text - needs crib sheet or paste ups,TV Series: Adventure Time,,"Card Game, Humor, Movies / TV / Radio theme",2,,359,6.29,1.47,150284
Crossboule,3237,2008,Admin: Better Description Needed!,Area Control / Area Influence,Action / Dexterity,45 minutes,6 and up,5 and up,,No necessary in-game text,,16,(Not best with any number),null,1.51,10309,null
IceTowers,3238,1999,,Looney Pyramids,"Set Collection, Tile Placement",10 minutes,10 and up,No necessary in-game text,,,"Abstract Strategy, Real-time",25,,237,6.43,1.35,24132
18GL,3239,2005,,"18xx, Country: USA","Route/Network Building, Stock Holding, Tile Placement",300 minutes,14 and up,(no votes yet),,,"Economic, Trains",26,,87,7.53,1.21,13772
Desperados of Dice Town,3240,2014,Desperados of Dice Town: Mister Phal Promo Character,Dice Rolling,"American West, Dice",25 minutes,8 and up,6,,Some necessary text - easily memorized or small crib sheet,,24,Best with 4 players,null,1.39,19465,null
Girl Genius: The Works,3241,2001,Steampunk,Modular Board,Card Game,30 minutes,10 and up,10 and up,,Moderate in-game text - needs crib sheet or paste ups,Family Games,24,Best with 2 players,656,6.04,1.54,50595
Hacker: Deluxe Edition,3242,2001,,Hackers,"Card Game, Political",60 minutes,10 and up,12 and up,,Extensive use of text - massive conversion needed to be playable,Thematic Games,26,Best with 4 players,284,6.44,1.41,27541
Cartel,3243,1973,Dallas,"Auction/Bidding, Set Collection",Economic,90 minutes,10 and up,12 and up,,Moderate in-game text - needs crib sheet or paste ups,"Family Games, Strategy Games",24,Best with 4 players,825,null,6.90,1.33
Octopus' Garden,3244,2011,"Set Collection, Tile Placement",Animals,Family Games,45 minutes,10 and up,6 and up,"Octopus' Garden: Boxer Crab, Octopus' Garden: Coconut Octopus, Octopus' Garden: Crown of Thorns, Octopus' Garden: Diver",No necessary in-game text,2010 Canadian Game Design Award Winner,24,Best with 4 players,161,6.73,1.16,28640
Sutter's Mill,3245,2008,,Mining,American West,60 minutes,10 and up,10 and up,,No necessary in-game text,Strategy Games,24,Best with 4 players,354,6.22,1.46,45178
24/7: The Game,3246,2006,,,Tile Placement,20 minutes,8 and up,No necessary in-game text,,,"Abstract Strategy, Number",24,,826,null,6.51,1.15
Assault,3247,1983,"Boots & Saddles, Bundeswehr, An Assault Series Module, Chieftain, An Assault Series Module, Reinforcements, An Assault Series Module","Hex-and-Counter, Secret Unit Deployment","Modern Warfare, Wargame",180 minutes,12 and up,14 and up,Assault Series,Extensive use of text - massive conversion needed to be playable,Wargames,2,Best with 2 players,182,6.71,1.40,39452
Favor of the Pharaoh,3248,2015,To Court the King,"Deck / Pool Building, Dice Rolling",Dice,45 minutes,13 and up,8 and up,,Some necessary text - easily memorized or small crib sheet,,24,Best with 3 players,null,1.40,45484,null
Mertwig's Maze,3249,1988,Dungeons & Dragons,"Modular Board, Role Playing","Adventure, Exploration, Fantasy, Fighting",100 minutes,10 and up,8 and up,,Some necessary text - easily memorized or small crib sheet,,26,Best with 4 players,null,1.29,29050,null
Dragon Rage,3250,1982,"Animals: Dragons, Heritage USA Microgames",Hex-and-Counter,"Fantasy, Wargame",120 minutes,12 and up,10,,Some necessary text - easily memorized or small crib sheet,"Strategy Games, Wargames",2,Best with 2 players,1095,null,7.04,1.31
