name,rank,year_published,mechanics,categories,subdomains,playing_time,mfg_suggested_ages,user_suggested_ages,expansions,languages,honors,mfg_suggested_players,user_suggested_players,count_ratings,avg_ratings,std_deviation,count_views
"Win, Place & Show",1608,1966,"3M Sports Games, Sports: Horse Racing","Win, Place & Show Great Thoroughbreds 1860's-1910's, Win, Place & Show Great Thoroughbreds 1920's-1970's, Win, Place & Show Official Program","Betting/Wagering, Dice Rolling, Roll / Spin and Move",120 minutes,8 and up,Moderate in-game text - needs crib sheet or paste ups,,,"Animals, Racing, Sports",36,,447,null,6.70,1.38
Midnight Party,1609,1989,"Dice Rolling, Roll / Spin and Move","Children's Game, Racing","Children's Games, Family Games",30 minutes,8 and up,5 and up,"20 Jahre Darmstadt Spielt, Hugo das Schlossgespenst: Gruselplttchen",No necessary in-game text,"1989 Spiel des Jahres Recommended, 2002 Japan Boardgame Prize Best Childgame Nominee",28,Best with 5 players,460,null,6.42,1.37
Kaigan,1610,2009,Country: Japan,"Action Point Allowance System, Area Control / Area Influence, Hand Management","Ancient, Travel",90 minutes,12 and up,10 and up,,No necessary in-game text,Strategy Games,34,Best with 4 players,395,7.04,1.11,49934
Kuhhandel Master,1611,2009,You're Bluffing!,"Auction/Bidding, Set Collection, Simultaneous Action Selection","Animals, Bluffing, Card Game",60 minutes,10 and up,8 and up,Ravensburger Kartenspiele,No necessary in-game text,Family Games,26,Best with 45 players,491,6.89,1.24,34681
Poseidon's Kingdom,1612,2011,"Animals: Fishes, Animals: Octopuses, Animals: Sharks, Crowdfunding: Kickstarter","Area Movement, Dice Rolling, Tile Placement","Animals, Dice, Mythology",45 minutes,10 and up,10 and up,,No necessary in-game text,Family Games,24,Best with 34 players,447,6.94,1.21,86669
Nuclear Escalation,1613,1983,"Hand Management, Take That","Card Game, Modern Warfare, Negotiation, Political",Thematic Games,30 minutes,10 and up,10 and up,"Nuclear War Booster Packs, Nuclear War: Fold in Space, Nuclear War: Mad Scientist",(no votes yet),1983 Charles S. Roberts Best Science-Fiction Board Game Winner,26,Best with 56 players,836,6.58,1.42,34033
Sanssouci,1614,2013,,"Hand Management, Pattern Building, Tile Placement",Family Games,3045 minutes,8 and up,10 and up,,No necessary in-game text,2014 Spiel des Jahres Recommended,24,(Not best with any number),436,6.95,1.25,37326
Cheeky Monkey,1615,2007,"Press Your Luck, Set Collection","Animals, Children's Game",Family Games,15 minutes,7 and up,5 and up,Animals: Apes / Monkeys,No necessary in-game text,"2008 Golden Geek Best Children's Board Game Nominee, 2008 Japan Boardgame Prize U-more Award Nominee",26,Best with 46 players,705,6.63,1.29,42834
The Captain Is Dead,1616,2014,The Captain is Dead: Episode 2  Adrift,"Action Point Allowance System, Co-operative Play, Variable Player Powers",Science Fiction,90 minutes,12 and up,10 and up,Crowdfunding: Kickstarter,Moderate in-game text - needs crib sheet or paste ups,"Strategy Games, Thematic Games",27,Best with 45 players,770,null,7.48,1.45
Bezzerwizzer,1617,2007,"Betting/Wagering, Chit-Pull System, Simultaneous Action Selection","Party Game, Trivia","Family Games, Party Games",45 minutes,14 and up,14 and up,"Bezzerwizzer Fragenerweiterung 1.0, Bezzerwizzer Fragenerweiterung 2.0",Unplayable in another language,"2009 rets Spel Best Adult Game Winner, 2009 rets Spill Best Party Game Nominee",24,Best with 4+ players,483,null,6.43,1.43
Eggs and Empires,1618,2014,"Eggs and Empires Eggspansion, Eggs and Empires: U-Turn Promo Card","Auction/Bidding, Hand Management, Simultaneous Action Selection","Bluffing, Card Game, Deduction, Fantasy",25 minutes,8 and up,8 and up,"Crowdfunding: Kickstarter, The EGG Series",Some necessary text - easily memorized or small crib sheet,Family Games,26,Best with 4 players,408,7.04,1.11,30426
Under the Lily Banners,1619,2005,"Dice Rolling, Hex-and-Counter, Simulation","Pike and Shot, Wargame",Wargames,300 minutes,12 and up,14 and up,"Age of Kings, Musket & Pike Battle Series, Solitaire Games, Solitaire Wargames",No necessary in-game text,2005 Charles S. Roberts Best Pre-World War II Boardgame Nominee,12,Best with 2 players,248,7.71,1.29,63972
Love Letter: The Hobbit  The Battle of the Five Armies,1620,2015,"AEG: 5 Minute Fun, AEG: Big in Japan, Love Letter, Tolkien Games",Love Letter,"Hand Management, Player Elimination",2030 minutes,8 and up,Some necessary text - easily memorized or small crib sheet,,(1 voter) [,"Bluffing, Card Game, Deduction",24,,null,1.27,21406,null
Pacific Typhoon,1621,2008,"Card Drafting, Dice Rolling, Hand Management, Partnerships","Card Game, Nautical, World War II","Thematic Games, Wargames",120 minutes,10 and up,12 and up,Atlantic Storm,Moderate in-game text - needs crib sheet or paste ups,"2008 Golden Geek Best Card Game Nominee, 2009 Games Magazine Best New Historical Simulation Game Winner, 2009 Golden Geek Best Card Game Nominee",37,Best with 56 players,298,null,6.67,1.54
